1,AO,LAD,LAD,,4 De Fevereiro,,,,,,,,,,,4 Де Феверейро,,,test,1,11/08/15 14:29,11/08/15 14:29
,TN,TBJ,TBJ,,7 Novembre,,,,,,,Табарка,,,,Табарка,,,,1,,
,DZ,QSF,QSF,,8 Mai 45,,,,,,,,,,,,,,,1,,
,VE,MRD,MRD,,A Carnevalli,,,,,,,А. Карневалли,,,,А. Карневалли,,,,1,,
,US,OAJ,OAJ,NC,A J Ellis,,,Albert J Ellis,Albert J Ellis,Albert J Ellis,,А. Дж. Эллис,,,,А. Дж. Эллис,,Albert J Ellis,,1,,
,CL,SCL,SCL,,A Merino Benitez,,,Arturo Merino Benitez,Arturo Merino Benitez,Arturo Merino Benitez,,А Мерино Бенитес,,,,А Мерино Бенитес,,Arturo Merino Benitez,,1,,
,LR,CPA,CPA,,A Tubman,,,A. Tubman,A. Tubman,A. Tubman,,А. Тубман,,,,А. Тубман,,A. Tubman,,1,,
,GU,GUM,GUM,,A.B Won Pat Intl,,,A.B Won Pat International,A.B Won Pat International,A.B Won Pat International,,А. Б. Вон Пат,,,,А. Б. Вон Пат,,A.B Won Pat Internacional,,1,,
,DE,UWE,WIE,,Aaf,,,,,,,Эйр-Бейз,,,,Эйр-Бейз,,,,1,,
,DE,HDB,HDB,,Aaf Airport,,,,,,,Хайдельберг,,,,Хайдельберг,,,,1,,
,DK,AAL,AAL,,Aalborg,,,,,,,Аальборг,,,,Аальборг,,,,1,,
,GL,QUV,QUV,,Aappilattoq,,,,,,,Ааппилатток,,,,Ааппилатток,,,,1,,
,DK,AAR,AAR,,Aarhus,,,,,,,Тирструп,,,,Тирструп,,,,1,,
,GL,JEG,JEG,,Aasiaat,,,,,,,Аасиааат,,,,Аасиааат,,,,1,,
,KR,OSN,OSN,,Ab,,,,,,,Аб,,,,Аб,,,,1,,
,ET,DIR,DIR,,Aba Tenna D Yilma,,,,,,,Аба-Тенна-Д-Йильма,,,,Аба-Тенна-Д-Йильма,,,,1,,
