7283,AU,SBR,SBR,QL,Saibai Island,,,,,,,Сайбей Айленд,,,,Сайбей Айленд,,,,1,15/08/11 14:29,15/08/11 14:29
,PG,SDI,SDI,,Saidor,,,,,,,Сайдор,,,,Сайдор,,,,1,16/08/11 14:29,
,BD,SPD,SPD,,Saidpur,,,,,,,Саидпур,,,,Саидпур,,,,1,17/08/11 14:29,
,PK,SDT,SDT,,Saidu Sharif,,,,,,,Саиду-Шариф,,,,Саиду-Шариф,,,,1,18/08/11 14:29,
,OM,AHW,AHW,,Saihrawl,,,,,,,,,,,,,Saih Rawl,,1,19/08/11 14:29,
,FR,RCO,RCO,,Saint Agnant,,,,,,,Сент-Агнан,,,,Сент-Агнан,,,,1,20/08/11 14:29,
,GB,ENK,ENK,,Saint Angelo,,,St Angelo,St Angelo,St Angelo,,Сент-Анджело,,,,Сент-Анджело,,St Angelo,,1,21/08/11 14:29,
,CA,YAY,YAY,NL,Saint Anthony,,,St Anthony,St Anthony,St Anthony,,Сент-Антони,,,,Сент-Антони,,St Anthony,,1,22/08/11 14:29,
,AT,ANT,ANT,,Saint Anton,,,Heliport,Heliport,Héliport,,Санкт-Антон,,,,Санкт-Антон,,Helipuerto,,1,23/08/11 14:29,
,FR,DPE,DPE,,Saint Aubin,,,,,,,Дьеп,,,,Дьеп,,,,1,24/08/11 14:29,
,US,UST,UST,FL,Saint Augustine,,,St Augustine,St Augustine,St Augustine,,Сент-Огустин,,,,Сент-Огустин,,St Augustine,,1,25/08/11 14:29,
,US,SBA,SBA,CA,Saint Ba Mnpl,,,St Ba Municipal,St Ba Municipal,St Ba Municipal,,Сент-Ба Мунисипал,,,,Сент-Ба Мунисипал,,St Ba Municipal,,1,26/08/11 14:29,
,GP,SBH,SBH,,Saint Barthelemy,,,St Barthelemy,St Barthelemy,St Barthelemy,,Сент-Бартелеми,,,,Сент-Бартелеми,,St Barthelemy,,1,27/08/11 14:29,
,CA,YCM,YCM,ON,Saint Catharines,,,St Catharines,St Catharines,St Catharines,,Сент-Катаринс,,,,Сент-Катаринс,,St Catharines,,1,28/08/11 14:29,
,US,PLR,PLR,AL,Saint Clair Cnty,,,St Clair Country,St Clair Country,St Clair Country,,Сент-Клер Каунти,,,,Сент-Клер Каунти,,St Clair Country,,1,29/08/11 14:29,
